cs_num,cs_title,cs_content,cs_rating,cs_category,cs_topic,cs_level,cs_style
1,"Write to Score High on the IELTS and TOEFL","Essential tips and shortcuts to increase your writing score",3.85,ielts,writing,beginner,explanation
2,"Mastering IELTS Writing: Task 2 (Achieve Band 7+)","Complete preparation to achieve the band score you need in IELTS Writing Task 2 (Academic and General Training).",4.72,ielts,writing,intermediate,explanation
3,"Get 7 - 9 in IELTS Speaking: IELTS Speaking Masterclass","Improve your fluency, vocabulary, grammar and pronunciation in preparation for the IELTS Speaking test.",4.61,ielts,speaking,advanced,example
4,"IELTS Writing: Achieve A Target 8 Score!","Discover how to write Band 8 answers for the IELTS writing section (Academic test mode) - Task 1 & 2!",3.7,ielts,writing,advanced,example
5,"Advanced IELTS Writing Process by Melbourne English","Learn the 8 Step Process to score 8+ in Task 2 of the IELTS Writing exam. 8 Steps illustrated with 4 perfect examples.",4,ielts,writing,advanced,example
6,"IELTS WRITING- GET THE BEST RESULTS","Are you struggling with IELTS? You really need to know what to do!. Make sure you do the very best you can!",4.5,ielts,writing,beginner,explanation
7,"Score High IELTS Writing (General Training Module)","Write great letters and essays and achieve the score you want in IELTS writing General Training module",4.7,ielts,writing,intermediate,example
8,"IELTS Band 7+ Complete Prep Course","Major Keys to Success",4.57,ielts,"writing,speaking,reading,listening",intermediate,explanation
9,"IELTS Vocabulary: Learn Essential Words for IELTS","Improve your IELTS Band Score by learning key words for the IELTS Writing, Speaking, Reading and Listening Tests",4.61,ielts,vocabulary,beginner,example
10,"IELTS Vocabulary Booster 9 topics covered in one course!","Learn 500+ words to increase your band in IELTS writing Task 2!",3.65,ielts,vocabulary,beginner,example
11,"IELTS Academic Writing Course: Task 1","A guide to help you prepare for the academic IELTS test, for students who want to go from an IELTS 5 to a 6 or 7",4.55,ielts,writing,beginner,explanation
12,"Beyond English: IELTS Academic Writing Task 1","Get a higher score in IELTS and change your future",4.25,ielts,writing,intermediate,explanation
13,"IELTS Speaking Secrets: Master the Live Interview","Learn how to raise your band score and pass the IELTS Speaking Exam.",4.64,ielts,speaking,intermediate,explanation
14,"Pass IELTS with a score of 7 - 9 and live or work overseas!","Pass the IELTS test! Learn and live more freely overseas!",4.35,ielts,"writing,speaking,reading,listening",advanced,explanation
