"UserID","Gender","Age","PreferredCategory","PreferredTopic","PreferredStyle","Level","AimScore"
"1","Female","32","pte","writing,speaking,reading","example","advanced","58"
"2","Male","45","pte","writing,speaking,reading,listening","example","beginner","79"
"3","Male","33","ielts","speaking,reading","example","beginner","5"
"4","Male","21","ielts","grammar,writing","example","advanced","9"
"5","Female","26","pte","grammar,writing,reading","example","advanced","58"
"6","Male","36","ielts","speaking,grammar","explanation","advanced","8.5"
"7","Female","48","ielts","reading","example","beginner","7.5"
"8","Female","42","ielts","reading","explanation","intermediate","5"
"9","Male","38","pte","speaking,listening,reading","example","intermediate","83"
"10","Female","40","pte","grammar,reading,writing","explanation","beginner","58"
"11","Male","37","ielts","reading","explanation","advanced","7"
"12","Female","31","ielts","writing,speaking,listening","explanation","beginner","6.5"
"13","Female","48","ielts","writing,speaking,listening","example","intermediate","9"
"14","Male","50","ielts","writing,speaking,reading,listening","explanation","advanced","6.5"
"15","Male","39","ielts","speaking,grammar","example","intermediate","6"
"16","Male","52","ielts","speaking,reading","example","intermediate","5"
"17","Male","57","ielts","writing,reading","explanation","beginner","6"
"18","Female","31","ielts","reading,grammar","explanation","beginner","6"
"19","Male","32","ielts","speaking,listening","example","beginner","5.5"
"20","Male","53","ielts","writing,speaking","example","advanced","5.5"
"21","Female","42","ielts","writing,speaking","explanation","advanced","6"
"22","Female","59","ielts","reading,grammar","example","advanced","7"
"23","Female","39","ielts","reading","explanation","beginner","7.5"
"24","Male","41","ielts","grammar,writing","example","advanced","6"
"25","Female","45","pte","writing,speaking","example","advanced","50"
"26","Female","24","ielts","speaking,listening","explanation","beginner","8"
"27","Male","35","ielts","vocabulary","explanation","beginner","5"
"28","Female","59","ielts","vocabulary,grammar","example","intermediate","6.5"
"29","Female","54","ielts","speaking","explanation","intermediate","6.5"
"30","Male","38","ielts","writing,reading","explanation","intermediate","5.5"
"31","Male","40","ielts","vocabulary","example","beginner","6"
"32","Male","46","ielts","writing,speaking,listening","explanation","advanced","6.5"
"33","Male","58","pte","speaking,grammar,reading","explanation","intermediate","90"
"34","Female","50","ielts","writing","example","intermediate","7.5"
"35","Male","48","pte","writing,speaking,reading,listening","explanation","advanced","73"
"36","Male","34","pte","writing,speaking","example","intermediate","50"
"37","Male","38","ielts","speaking,reading","example","beginner","6.5"
"38","Male","51","ielts","speaking","example","beginner","8.5"
"39","Male","29","ielts","writing","example","intermediate","6"
"40","Male","60","ielts","speaking,listening","explanation","intermediate","6.5"
"41","Male","41","pte","speaking,reading,writing","example","intermediate","58"
"42","Female","34","pte","grammar,writing,reading","explanation","beginner","73"
"43","Female","46","ielts","speaking,grammar","explanation","intermediate","8"
"44","Female","49","pte","speaking,grammar,reading","explanation","intermediate","65"
"45","Female","57","ielts","grammar,writing","example","advanced","6.5"
"46","Female","58","ielts","grammar,writing","explanation","beginner","6.5"
"47","Male","18","ielts","speaking,reading","example","beginner","6.5"
"48","Female","56","pte","grammar,reading,speaking","explanation","advanced","50"
"49","Male","45","pte","writing,grammar","explanation","beginner","58"
"50","Female","21","ielts","speaking,listening","example","intermediate","8.5"
"51","Female","35","pte","speaking,reading,writing","example","beginner","58"
"52","Female","47","ielts","speaking,grammar","explanation","intermediate","6.5"
"53","Male","43","ielts","vocabulary,grammar","example","intermediate","6.5"
"54","Male","43","pte","reading,listening,speaking","explanation","beginner","83"
"55","Female","49","ielts","grammar,writing","example","beginner","6.5"
